수출입 통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,그리스,"57,031","24,297","-32,734",114,0.2,8.8,9.6,0.1,766,"독일(18,165)","중국(10,491)","이탈리아(9,127)","폴란드(4,027)","벨기에(3,861)","헝가리(2,132)","불가리아(1,901)","튀르키예(1,865)","스페인(1,823)","리투아니아(1,217)",루마니아(431),프랑스(399),인도(291),영국(247),일본(233),인도네시아(124),한국(114),오스트리아(108),대만(108),덴마크(72),미국(57),체코(56),아랍에미리트(53),네덜란드(37),키프로스(15),호주(12),스웨덴(10),슬로바키아(7),핀란드(6),크로아티아(6),"57,031",5.2,"24,297",0.0,"54,214",14.1,"24,290",14.7,"47,502",21.9,"21,174",7.9
61,뉴질랜드,"52,367",901,"-51,466",838,1.6,4.5,0.8,0.1,318,"중국(15,932)","독일(5,465)","호주(4,820)","이탈리아(4,479)","일본(4,121)","미국(3,002)","태국(1,714)","대만(1,425)","영국(1,252)","스페인(1,129)",폴란드(961),한국(838),멕시코(540),튀르키예(470),스웨덴(460),인도(431),프랑스(345),체코(338),싱가포르(208),말레이시아(113),루마니아(102),네덜란드(78),헝가리(72),그리스(66),인도네시아(64),브라질(59),캐나다(55),불가리아(47),오스트리아(40),핀란드(38),"52,367",-9.3,901,16.7,"57,710",12.0,773,64.9,"51,547",-5.2,469,25.2
62,키르기스스탄,"30,995",349,"-30,646",878,2.8,58.1,174.8,0.1,702,"중국(1,592)",한국(878),러시아연방(722),튀르키예(630),카자흐스탄(202),독일(165),스페인(116),이탈리아(116),미국(98),일본(75),오스트리아(67),네덜란드(60),대만(51),멕시코(31),인도(29),파키스탄(26),브라질(25),스웨덴(22),폴란드(21),벨기에(12),아랍에미리트(11),리투아니아(10),체코(9),영국(9),우즈베키스탄(5),슬로바키아(3),-,헝가리(1),크로아티아(1),벨라루스(1),"30,995",32.7,349,125.3,"23,351",468.8,155,-22.8,"4,105",95.8,201,40.8
63,라트비아,"50,737","25,653","-25,084",0,0.0,10.8,9.2,0.1,0,"폴란드(15,178)","독일(14,045)","리투아니아(6,349)","핀란드(3,367)","이탈리아(2,494)","스웨덴(1,831)","에스토니아(1,751)","벨기에(1,397)",스페인(830),덴마크(799),네덜란드(645),튀르키예(479),인도(331),체코(255),중국(179),프랑스(135),노르웨이(123),우크라이나(102),미국(102),영국(102),오스트리아(88),그리스(46),아일랜드(44),벨라루스(14),러시아연방(13),불가리아(10),일본(9),헝가리(7),슬로바키아(2),루마니아(2),"50,737",5.5,"25,653",13.7,"48,079",12.9,"22,565",25.1,"42,578",22.6,"18,033",55.6
64,과테말라,"37,462",423,"-37,040","1,108",3.0,12.6,4.2,0.1,744,"중국(17,206)","멕시코(3,846)","미국(3,179)","일본(2,988)","대만(1,758)","인도(1,275)","브라질(1,119)","한국(1,108)",독일(633),태국(557),콜롬비아(403),스페인(229),이탈리아(212),캐나다(161),폴란드(152),체코(130),헝가리(114),인도네시아(103),남아프리카공화국(82),루마니아(79),튀르키예(73),프랑스(71),튀니지(63),영국(51),파나마(50),스웨덴(46),에스토니아(28),베트남(25),덴마크(22),미얀마(22),"37,462",5.7,423,24.5,"35,450",2.8,340,-48.7,"34,489",16.6,662,2.3
65,보스니아 헤르체고비나,"48,121","9,074","-39,047",75,0.2,22.0,54.2,0.1,-,"중국(9,560)","이탈리아(3,953)","독일(2,596)","스페인(2,202)","폴란드(2,133)","체코(1,498)",튀르키예(826),인도(694),루마니아(551),영국(541),그리스(254),프랑스(154),벨라루스(143),슬로바키아(134),세르비아(109),한국(75),헝가리(72),불가리아(71),일본(66),미국(61),인도네시아(58),크로아티아(57),스웨덴(42),대만(40),덴마크(40),오스트리아(33),멕시코(24),러시아연방(18),네덜란드(17),브라질(14),"48,121",8.5,"9,074",-13.5,"44,368",119.2,"10,490",204.9,"20,243",1.0,"3,441",61.9
66,튀니지,"43,532","7,790","-35,742",15,0.0,14.1,35.7,0.1,15,"이탈리아(11,597)","영국(2,958)","독일(2,887)","튀르키예(2,502)","프랑스(1,734)",스페인(982),중국(867),태국(852),네덜란드(340),벨기에(273),폴란드(156),그리스(145),인도(46),미국(30),한국(15),대만(10),브라질(5),헝가리(3),루마니아(2),일본(2),스웨덴(1),체코(1),-,-,-,-,-,-,-,-,"43,532",12.6,"7,790",-27.5,"38,656",63.6,"10,748",76.7,"23,630",6.1,"6,083",86.4
67,몰다비아,"34,488","2,183","-32,305",90,0.3,26.4,50.1,0.1,1,"중국(6,526)","독일(3,669)","이탈리아(1,554)","루마니아(1,445)","스페인(1,115)","튀르키예(1,026)",체코(987),폴란드(938),인도(467),영국(338),브라질(205),일본(162),덴마크(161),러시아연방(114),한국(90),미국(84),그리스(83),프랑스(82),벨라루스(75),대만(59),우크라이나(52),헝가리(33),스웨덴(24),포르투갈(24),멕시코(23),슬로바키아(19),네덜란드(12),오스트리아(11),불가리아(8),카자흐스탄(7),"34,488",9.9,"2,183",31.9,"31,384",105.0,"1,656",321.9,"15,312",14.2,392,"2,356.3"
68,에콰도르,"38,805",63,"-38,742","1,339",3.5,3.7,-2.3,0.1,586,"중국(19,187)","일본(2,928)","브라질(2,859)","미국(2,548)","콜롬비아(1,489)","한국(1,339)","이탈리아(1,002)",대만(935),멕시코(846),독일(670),태국(623),인도(235),프랑스(222),체코(217),튀르키예(208),스페인(203),폴란드(113),홍콩(104),루마니아(92),스위스(89),아랍에미리트(57),스웨덴(57),영국(56),벨기에(31),아르헨티나(18),헝가리(17),벨라루스(17),포르투갈(16),인도네시아(15),싱가포르(14),"38,805",-7.7,63,-30.0,"42,057",3.4,90,-9.9,"40,663",26.9,100,-53.3
69,조지아,"24,986","2,214","-22,772",378,1.5,19.4,30.0,0.1,660,"독일(3,752)","중국(3,691)","튀르키예(3,421)","벨기에(1,206)",아랍에미리트(848),이탈리아(525),헝가리(489),한국(378),폴란드(338),네덜란드(318),홍콩(301),벨라루스(215),스페인(178),러시아연방(153),체코(147),일본(139),인도네시아(116),프랑스(97),우크라이나(57),영국(51),리투아니아(45),스웨덴(33),싱가포르(33),대만(23),아르메니아(20),그리스(20),오스트리아(19),에스토니아(18),불가리아(15),슬로바키아(10),"24,986",-7.1,"2,214",-27.8,"26,890",81.9,"3,068",18.7,"14,785",27.4,"2,585",34.4
70,에스토니아,"30,480","7,071","-23,409",293,1.0,7.3,0.5,0.1,0,"독일(6,234)","중국(5,299)","폴란드(4,539)","이탈리아(3,232)","스페인(1,609)","핀란드(1,576)",체코(944),덴마크(926),영국(521),인도(511),튀르키예(458),한국(293),프랑스(264),라트비아(246),미국(232),네덜란드(211),스웨덴(209),슬로바키아(204),일본(180),리투아니아(161),헝가리(142),브라질(135),루마니아(119),벨기에(103),멕시코(59),러시아연방(52),오스트리아(43),에스토니아(41),스위스(36),보스니아 헤르체고비나(22),"30,480",2.4,"7,071",-7.7,"29,756",-1.4,"7,665",10.6,"30,192",13.7,"6,927",-9.8
71,아제르바이잔,"28,535",43,"-28,492","1,903",6.7,19.0,29.4,0.1,"1,114","중국(9,621)","튀르키예(2,986)","한국(1,903)","일본(1,193)","독일(1,059)",러시아연방(936),스페인(603),이탈리아(509),폴란드(486),루마니아(285),영국(278),인도(225),미국(217),태국(155),이란(139),체코(131),프랑스(67),멕시코(40),우크라이나(34),대만(28),브라질(26),우즈베키스탄(21),리투아니아(21),벨라루스(17),인도네시아(12),슬로바키아(11),캐나다(7),불가리아(6),아랍에미리트(6),베트남(4),"28,535",5.9,43,-71.5,"26,952",58.1,153,22.8,"17,044",18.4,124,"10,293.1"
72,케냐,"19,801",0,"-19,800",6,0.0,11.3,22.8,0.0,6,"중국(15,070)","독일(1,079)",튀르키예(472),인도(435),일본(407),남아프리카공화국(359),영국(178),싱가포르(79),벨기에(76),프랑스(64),인도네시아(61),이탈리아(53),호주(46),태국(34),그리스(32),스페인(22),포르투갈(21),미국(15),한국(6),덴마크(5),브라질(3),폴란드(3),말레이시아(2),네덜란드(1),루마니아(1),대만(0),체코(0),-,-,-,"19,801",52.5,0,-99.9,"12,988",-1.1,339,95.6,"13,133",-5.9,174,-79.5
73,쿠웨이트,"25,660",407,"-25,253",787,3.1,6.2,10.0,0.1,787,"일본(5,798)","태국(3,913)","중국(3,276)","독일(3,143)",한국(787),말레이시아(761),인도네시아(666),미국(554),프랑스(481),이탈리아(440),인도(326),스페인(317),영국(211),튀르키예(165),네덜란드(81),호주(64),벨기에(59),폴란드(36),싱가포르(21),대만(6),남아프리카공화국(5),캐나다(3),헝가리(3),스웨덴(3),홍콩(2),브라질(0),-,-,-,-,"25,660",-8.2,407,-65.9,"27,952",31.7,"1,194",117.5,"21,221",26.3,549,97.4
74,룩셈부르크,"21,752","4,517","-17,235",15,0.1,-12.6,4.6,0.0,-,"독일(12,971)","벨기에(3,366)","프랑스(1,661)","이탈리아(1,121)",폴란드(830),기타국(297),체코(253),네덜란드(242),미국(240),중국(192),룩셈부르크(97),영국(53),일본(45),루마니아(43),헝가리(33),인도(24),스위스(20),스웨덴(16),한국(15),튀르키예(13),스페인(10),그리스(8),덴마크(7),슬로바키아(6),멕시코(5),브라질(3),리투아니아(2),대만(1),오스트리아(1),캐나다(0),"21,752",-13.3,"4,517",1.2,"25,077",26.2,"4,463",24.8,"19,867",-6.0,"3,576",13.6
75,필리핀,"23,277","4,316","-18,961",987,4.2,4.1,22.2,0.1,768,"태국(11,795)","중국(3,368)","일본(2,528)",한국(987),말레이시아(676),독일(580),인도네시아(449),미국(363),인도(202),이탈리아(179),폴란드(177),대만(172),영국(172),싱가포르(169),튀르키예(108),네덜란드(101),프랑스(89),스웨덴(81),호주(63),슬로바키아(59),스페인(57),벨기에(51),멕시코(30),핀란드(28),체코(26),루마니아(23),홍콩(22),아랍에미리트(16),그리스(11),헝가리(9),"23,277",16.7,"4,316",-17.9,"19,939",28.0,"5,257",-67.2,"15,580",7.8,"16,022",-67.3
76,리비아,"23,930",5,"-23,924","7,943",33.2,7.9,15.4,0.1,"7,943","중국(9,146)","한국(7,943)","튀르키예(1,792)","이탈리아(1,348)",독일(697),말레이시아(438),대만(228),일본(135),스페인(34),폴란드(32),남아프리카공화국(23),인도(23),영국(17),미국(11),벨기에(8),프랑스(6),인도네시아(5),네덜란드(3),싱가포르(1),리투아니아(0),태국(0),-,-,-,-,-,-,-,-,-,"23,930",2.0,5,-,"23,465",30.7,-,-,"17,958",-3.8,-,-
77,마케도니아,"17,087","26,246","9,160",42,0.2,19.6,52.0,0.0,-,"중국(2,462)","독일(1,547)","이탈리아(1,109)",폴란드(911),튀르키예(885),스페인(460),체코(349),인도(198),미국(193),브라질(173),세르비아(144),영국(136),루마니아(129),벨기에(63),프랑스(59),헝가리(46),그리스(45),일본(43),한국(42),불가리아(24),대만(14),리투아니아(12),멕시코(10),스웨덴(8),슬로바키아(7),태국(7),네덜란드(6),덴마크(5),캐나다(4),모로코(3),"17,087",11.1,"26,246",6.8,"15,383",108.1,"24,576",179.7,"7,393",-0.5,"8,788",-4.3
78,아르메니아,"13,951","1,647","-12,304",214,1.5,23.7,16.3,0.0,-,"중국(4,020)","러시아연방(1,167)",퀴라소(699),독일(592),스페인(561),일본(443),이탈리아(441),미국(257),튀르키예(222),체코(220),한국(214),인도(178),영국(144),폴란드(125),루마니아(102),인도네시아(71),헝가리(62),카자흐스탄(37),프랑스(35),스웨덴(21),벨라루스(17),태국(14),그리스(13),멕시코(10),브라질(7),덴마크(7),슬로바키아(6),아프가니스탄(4),네덜란드(3),포르투갈(2),"13,951",-15.2,"1,647",34.7,"16,452",59.5,"1,223",-47.5,"10,312",80.8,"2,330",288.1
79,방글라데시,"17,823",4,"-17,819",52,0.3,-,9.3,0.0,52,"인도(11,703)","중국(3,290)",인도네시아(965),일본(873),대만(507),태국(234),튀르키예(128),한국(52),싱가포르(22),독일(12),말레이시아(12),캐나다(2),홍콩(2),프랑스(1),스웨덴(1),영국(1),벨기에(1),-,-,-,-,-,-,-,-,-,-,-,-,-,"17,823",-0.3,4,-65.3,"17,869",19.8,12,-82.5,"14,917",16.5,66,122.3
80,코스타리카,"20,367",143,"-20,224",455,2.2,13.1,13.1,0.0,183,"중국(8,056)","미국(2,276)","일본(2,210)","멕시코(1,435)",독일(976),대만(637),한국(455),이탈리아(430),파나마(351),브라질(308),콜롬비아(296),태국(250),스페인(207),영국(187),인도(137),튀르키예(109),루마니아(90),프랑스(65),인도네시아(51),캐나다(43),체코(40),폴란드(37),과테말라(25),헝가리(23),스웨덴(18),말레이시아(15),벨기에(13),홍콩(13),슬로바키아(8),오스트리아(6),"20,367",6.7,143,60.2,"19,083",19.8,89,-21.4,"15,931",21.6,113,68.7
81,레바논,"24,580",21,"-24,559",952,3.9,7.7,37.9,0.1,952,"중국(6,354)","독일(6,339)",한국(952),이탈리아(666),일본(637),프랑스(320),스페인(316),영국(238),말레이시아(193),대만(155),튀르키예(153),벨기에(141),폴란드(76),그리스(49),미국(42),싱가포르(36),태국(35),인도(33),캐나다(25),체코(20),헝가리(14),스웨덴(12),덴마크(12),네덜란드(8),슬로바키아(3),인도네시아(2),브라질(1),리투아니아(0),포르투갈(0),-,"24,580",23.9,21,-97.6,"19,837",53.4,865,"3,617.4","12,931",33.8,23,-80.3
82,카타르,"15,879",97,"-15,782",2,0.0,-2.3,-20.2,0.0,2,"일본(5,168)","독일(2,225)","중국(1,826)","태국(1,455)",영국(450),호주(430),튀르키예(318),인도(302),말레이시아(236),미국(216),프랑스(184),이탈리아(125),그리스(53),캐나다(52),벨기에(47),네덜란드(17),대만(12),스페인(9),싱가포르(9),헝가리(7),브라질(4),슬로바키아(4),체코(4),폴란드(3),오스트리아(2),포르투갈(2),한국(2),홍콩(1),스웨덴(0),인도네시아(0),"15,879",-50.6,97,-20.2,"32,144",28.8,122,69.0,"24,948",12.0,72,-21.4
83,온두라스,"18,412",81,"-18,331",471,2.6,10.4,42.8,0.0,204,"중국(8,512)","멕시코(2,919)","일본(1,764)","미국(1,079)",태국(751),인도(634),대만(576),브라질(539),한국(471),콜롬비아(176),독일(159),이탈리아(140),인도네시아(101),에콰도르(56),스위스(51),튀르키예(41),영국(30),스페인(23),말레이시아(21),싱가포르(19),모잠비크(19),폴란드(18),프랑스(18),체코(16),루마니아(14),캐나다(11),스웨덴(7),기타국(5),슬로바키아(5),이스라엘(4),"18,412",-2.6,81,3.6,"18,901",109.2,78,"2,900.3","9,033",-33.0,3,-96.0
84,알바니아,"18,802",199,"-18,602",20,0.1,37.1,100.0,0.0,2,"중국(2,866)","이탈리아(2,035)","독일(1,519)",체코(789),스페인(714),튀르키예(445),폴란드(346),인도(339),루마니아(308),영국(242),그리스(123),슬로베니아(120),오스트리아(92),프랑스(74),벨기에(64),미국(60),일본(60),불가리아(58),네덜란드(41),대만(34),한국(20),멕시코(19),헝가리(17),태국(16),튀니지(9),세르비아(3),모로코(3),인도네시아(2),슬로바키아(2),덴마크(1),"18,802",5.5,199,-29.2,"17,816",278.9,281,"1,052.2","4,702",-24.1,24,21.4
85,탄자니아,"14,812",430,"-14,382",90,0.6,14.2,16.9,0.0,2,"중국(7,838)","일본(2,355)",독일(671),인도(426),아랍에미리트(305),이탈리아(283),호주(201),그리스(182),남아프리카공화국(148),튀르키예(144),폴란드(131),미국(121),한국(90),태국(84),북한(84),프랑스(83),헝가리(71),벨기에(65),대만(40),영국(38),스페인(24),홍콩(23),체코(19),포르투갈(18),캐나다(15),스웨덴(12),루마니아(12),네덜란드(8),브라질(7),싱가포르(7),"14,812",28.2,430,-11.5,"11,553",6.6,486,"4,438.8","10,836",16.1,11,-40.0
86,요르단,"18,870",19,"-18,851","3,007",15.9,10.5,-9.7,0.0,"3,007","중국(4,898)","한국(3,007)","독일(2,200)","일본(1,355)",튀르키예(727),말레이시아(538),스페인(462),그리스(416),이탈리아(227),대만(204),폴란드(198),싱가포르(192),영국(166),프랑스(155),미국(70),네덜란드(67),체코(52),태국(32),캐나다(32),인도(27),호주(26),벨기에(10),브라질(7),루마니아(3),오스트리아(2),스웨덴(2),리투아니아(1),덴마크(0),-,-,"18,870",-19.3,19,-95.0,"23,396",1.0,372,-49.9,"23,161",48.4,743,334.2
87,오만,"12,207","72,954","60,747",689,5.6,-23.5,-44.4,0.0,689,"일본(3,793)","태국(2,123)","중국(1,414)","독일(1,273)",한국(689),미국(207),말레이시아(166),벨기에(143),인도(131),이탈리아(110),싱가포르(103),튀르키예(86),영국(83),폴란드(65),프랑스(60),호주(55),캐나다(9),스페인(8),스웨덴(5),인도네시아(4),슬로바키아(2),헝가리(1),대만(1),네덜란드(1),오스트리아(0),포르투갈(0),-,-,-,-,"12,207",-69.3,"72,954",-23.0,"39,703",0.4,"94,693",75.7,"39,539",-9.6,"53,899",8.0
88,엘살바도르,"15,467","1,920","-13,546",418,2.7,4.7,-11.7,0.0,468,"중국(8,261)","멕시코(1,638)","대만(1,090)",일본(922),미국(860),한국(418),인도(337),브라질(310),스위스(242),독일(199),이탈리아(187),태국(128),캐나다(119),콜롬비아(105),오스트리아(92),인도네시아(68),스페인(56),영국(23),체코(21),덴마크(18),루마니아(15),튀르키예(14),폴란드(8),말레이시아(5),슬로바키아(4),베트남(4),볼리비아(3),홍콩(3),스웨덴(3),아이슬란드(2),"15,467",-3.9,"1,920",-2.7,"16,091",-18.9,"1,974",11.4,"19,847",26.0,"1,772",22.1
89,우루과이,"13,596","3,792","-9,804",17,0.1,20.6,21.0,0.0,17,"브라질(3,726)","프랑스(2,296)","중국(1,451)","튀르키예(1,088)",독일(742),이탈리아(229),스페인(162),미국(140),인도(81),벨기에(60),영국(20),한국(17),일본(14),네덜란드(9),대만(4),남아프리카공화국(4),폴란드(3),스웨덴(2),캐나다(2),체코(1),포르투갈(0),헝가리(0),태국(0),-,-,-,-,-,-,-,"13,596",18.2,"3,792",-63.3,"11,505",23.9,"10,320",30.5,"9,284",47.3,"7,908",13.3
90,도미니카공화국,"21,073",372,"-20,701",930,4.4,8.7,-6.3,0.0,523,"중국(10,648)","미국(1,926)","일본(1,418)","멕시코(1,042)",한국(930),브라질(794),대만(649),독일(533),이탈리아(273),태국(268),스페인(212),인도(108),파나마(94),영국(89),스웨덴(61),체코(59),루마니아(55),인도네시아(52),프랑스(50),콜롬비아(46),말레이시아(45),폴란드(44),벨기에(32),캐나다(32),홍콩(23),튀르키예(23),남아프리카공화국(17),코스타리카(10),헝가리(10),중앙아프리카공화국(8),"21,073",9.6,372,-50.8,"19,220",-20.0,755,84.5,"24,025",43.5,409,-79.2
91,베네수엘라,"12,893",13,"-12,880",21,0.2,-,23.4,0.0,21,"중국(10,748)",미국(856),브라질(633),캐나다(224),튀르키예(161),일본(103),이탈리아(25),독일(22),한국(21),스페인(13),대만(11),태국(9),인도(5),벨기에(1),폴란드(1),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,893",26.5,13,-2.8,"10,192",20.4,14,"2,664.0","8,467",75.4,0,-88.2
92,아이슬란드,"12,113",65,"-12,048",207,1.7,11.9,30.8,0.0,1,"중국(2,642)",독일(784),이탈리아(630),일본(595),미국(417),영국(382),폴란드(360),덴마크(334),스페인(333),네덜란드(287),프랑스(238),한국(207),체코(114),인도(104),스웨덴(83),멕시코(77),튀르키예(71),에스토니아(69),벨기에(66),리투아니아(61),슬로바키아(51),태국(42),루마니아(15),포르투갈(9),대만(8),헝가리(7),남아프리카공화국(6),그리스(6),스위스(5),캐나다(3),"12,113",7.0,65,-32.7,"11,317",59.9,97,1.5,"7,078",0.2,95,-41.4
93,파라과이,"18,042",136,"-17,906","1,895",10.5,9.2,13.1,0.0,"1,625","중국(4,554)","브라질(4,519)","한국(1,895)","일본(1,339)",독일(986),미국(425),튀르키예(343),멕시코(320),홍콩(302),이탈리아(256),포르투갈(193),스페인(125),대만(110),인도(107),파나마(83),인도네시아(76),프랑스(62),아르헨티나(60),태국(54),영국(45),루마니아(42),폴란드(35),스웨덴(29),우루과이(26),핀란드(23),네덜란드(18),볼리비아(14),체코(13),캐나다(12),헝가리(11),"18,042",19.9,136,-51.7,"15,047",6.7,282,-20.0,"14,100",23.7,352,"1,232.4"
94,앙골라,"12,339",16,"-12,323",57,0.5,1.7,-10.4,0.0,-,"중국(2,707)","아랍에미리트(2,332)","포르투갈(1,747)","남아프리카공화국(1,317)",일본(273),벨기에(205),스웨덴(178),독일(154),브라질(137),미국(133),캐나다(129),인도(110),홍콩(99),프랑스(71),한국(57),이탈리아(49),영국(24),나미비아(17),노르웨이(16),스페인(16),네덜란드(16),튀르키예(15),북한(12),나이지리아(9),폴란드(6),태국(4),싱가포르(4),에스토니아(3),에티오피아(2),오스트리아(2),"12,339",-39.2,16,-61.1,"20,281",32.0,42,-70.0,"15,359",89.0,139,919.9
95,키프로스,"8,815",195,"-8,621",128,1.5,6.2,8.8,0.0,1,"독일(3,152)","이탈리아(1,422)","아일랜드(1,056)",벨기에(679),인도네시아(544),그리스(529),스페인(346),영국(177),폴란드(147),중국(145),한국(128),네덜란드(101),스웨덴(83),일본(53),체코(52),프랑스(37),에스토니아(31),덴마크(23),헝가리(21),말레이시아(13),대만(13),싱가포르(12),슬로베니아(12),슬로바키아(10),미국(10),불가리아(9),튀르키예(1),오스트리아(1),홍콩(1),태국(1),"8,815",4.9,195,-78.7,"8,404",12.9,915,257.2,"7,441",11.4,256,419.0
96,몬테네그로,"10,247",327,"-9,920",32,0.3,24.9,55.3,0.0,-,"중국(2,332)","독일(1,630)",이탈리아(296),프랑스(278),루마니아(216),체코(215),영국(182),튀르키예(112),인도(108),세르비아(106),그리스(102),미국(57),폴란드(51),스페인(46),일본(46),헝가리(38),한국(32),네덜란드(13),덴마크(12),태국(8),모로코(8),오스트리아(7),크로아티아(7),러시아연방(5),슬로바키아(5),슬로베니아(3),대만(2),벨기에(1),브라질(1),스웨덴(1),"10,247",11.6,327,129.8,"9,180",116.1,142,236.6,"4,248",8.7,42,-16.4
97,가나,"12,735",26,"-12,709",-,-,27.4,38.6,0.0,-,"중국(10,960)",남아프리카공화국(261),호주(135),독일(133),네덜란드(132),벨기에(132),인도(98),튀르키예(97),프랑스(71),태국(33),캐나다(33),일본(20),영국(15),스웨덴(13),싱가포르(9),이탈리아(9),대만(2),폴란드(1),브라질(1),-,-,-,-,-,-,-,-,-,-,-,"12,735",130.3,26,-77.7,"5,531",-16.5,115,-43.8,"6,626",-5.4,204,"1,080.7"
98,예멘,"11,138",-,-,282,2.5,134.9,-6.7,0.0,282,"일본(4,752)","중국(4,302)","튀르키예(1,240)",말레이시아(454),한국(282),태국(42),인도네시아(17),독일(12),대만(10),인도(9),영국(2),벨기에(2),프랑스(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,138",4.2,-,-,"10,693",-16.5,-,-,"12,807",5.7,0,-
